#,Scheme Name,Net Asset Value,Outstanding Number of Units,Nav Per Unit,Sale Price per Unit,Repurchase Price/Unit,Date Valued
1,Umoja Fund,378372640203.441,330564856.0153,1144.6245,1144.6245,1133.1783,28-04-2025
2,Wekeza Maisha Fund,21970578155.9148,21798330.5344,1007.9019,1007.9019,987.7438,28-04-2025
3,Watoto Fund,28681952533.7105,38532826.0423,744.3511,744.3511,736.9076,28-04-2025
4,Jikimu Fund,35880851147.7582,193917427.3919,185.0316,185.0316,181.331,28-04-2025
5,Liquid Fund,1626613417773.74,3602403276.2911,451.5356,451.5356,451.5356,28-04-2025
6,Bond Fund,872093823914.863,7215955844.6397,120.8563,120.8563,120.8563,28-04-2025
7,Umoja Fund,378220858061.031,330555038.0884,1144.1993,1144.1993,1132.7574,25-04-2025
8,Wekeza Maisha Fund,21928894758.1,21773281.0102,1007.147,1007.147,987.0041,25-04-2025
9,Watoto Fund,28506949812.0959,38325489.247,743.8118,743.8118,736.3736,25-04-2025
10,Jikimu Fund,35885327580.286,194070956.3419,184.9083,184.9083,181.2101,25-04-2025
11,Liquid Fund,1621347188665.44,3593757297.9461,451.1566,451.1566,451.1566,25-04-2025
12,Bond Fund,870365837512.223,7207742878.3885,120.7543,120.7543,120.7543,25-04-2025
13,Umoja Fund,378148362348.415,330532630.3197,1144.0576,1144.0576,1132.617,24-04-2025
14,Wekeza Maisha Fund,21898733998.2517,21748770.8793,1006.8952,1006.8952,986.7573,24-04-2025
15,Watoto Fund,28429413798.6856,38230538.2534,743.631,743.631,736.1947,24-04-2025
16,Jikimu Fund,35822470093.5272,193774000.7349,184.8673,184.8673,181.1699,24-04-2025
17,Liquid Fund,1619363808436.87,3590376030.5969,451.029,451.029,451.029,24-04-2025
18,Bond Fund,868412838864.061,7193599894.729,120.7202,120.7202,120.7202,24-04-2025
19,Umoja Fund,378238273831.241,330589329.3961,1144.1333,1144.1333,1132.692,23-04-2025
20,Wekeza Maisha Fund,21868165591.5225,21723243.4996,1006.6713,1006.6713,986.5379,23-04-2025
21,Watoto Fund,28373978755.2457,38162744.2161,743.4994,743.4994,736.0644,23-04-2025
22,Jikimu Fund,35771596646.8956,193511518.0064,184.8551,184.8551,181.158,23-04-2025
23,Liquid Fund,1616691280383.08,3585465966.3437,450.9013,450.9013,450.9013,23-04-2025
24,Bond Fund,868224684286.603,7194094060.4444,120.6858,120.6858,120.6858,23-04-2025
25,Umoja Fund,378087880553.74,330495646.1819,1144.0026,1144.0026,1132.5626,22-04-2025
26,Wekeza Maisha Fund,21805718555.4118,21665422.931,1006.4756,1006.4756,986.346,22-04-2025
27,Watoto Fund,28298068171.2854,38068651.2814,743.3431,743.3431,735.9096,22-04-2025
28,Jikimu Fund,35766604744.3617,193515046.4987,184.826,184.826,181.1294,22-04-2025
29,Liquid Fund,1608763566643.36,3568879724.0268,450.7755,450.7755,450.7755,22-04-2025
30,Bond Fund,865520817092.031,7173696098.8153,120.652,120.652,120.652,22-04-2025
31,Umoja Fund,376663697273.972,330471673.0764,1139.776,1139.776,1128.3783,17-04-2025
32,Wekeza Maisha Fund,21746413848.8428,21655150.0449,1004.2144,1004.2144,984.1301,17-04-2025
33,Watoto Fund,28180467968.4525,37989135.0651,741.8034,741.8034,734.3853,17-04-2025
34,Jikimu Fund,35654872229.7907,193367833.1104,184.3888,184.3888,180.7011,17-04-2025
35,Liquid Fund,1603082967193.74,3561258638.4216,450.1451,450.1451,450.1451,17-04-2025
36,Bond Fund,863458727632.964,7166636272.0775,120.4831,120.4831,120.4831,17-04-2025
37,Umoja Fund,376582103948.576,330442429.0772,1139.63,1139.63,1128.2337,16-04-2025
38,Wekeza Maisha Fund,21853098227.0137,21766985.436,1003.9561,1003.9561,983.877,16-04-2025
39,Watoto Fund,28118156610.7303,37914484.6961,741.6204,741.6204,734.2042,16-04-2025
40,Jikimu Fund,35661765839.5199,193448982.721,184.3471,184.3471,180.6602,16-04-2025
41,Liquid Fund,1600062991427.98,3555548048.3235,450.0187,450.0187,450.0187,16-04-2025
42,Bond Fund,862732569653.187,7162620843.0737,120.4493,120.4493,120.4493,16-04-2025
43,Umoja Fund,384372418537.876,337460632.3762,1139.0141,1139.0141,1127.624,15-04-2025
44,Wekeza Maisha Fund,21729262177.3288,21647535.5544,1003.7753,1003.7753,983.6998,15-04-2025
45,Watoto Fund,28079769914.4813,37875727.8494,741.3658,741.3658,733.9522,15-04-2025
46,Jikimu Fund,35711623928.1036,193807678.6077,184.2632,184.2632,180.5779,15-04-2025
47,Liquid Fund,1598261197365.84,3552511034.1716,449.8962,449.8962,449.8962,15-04-2025
48,Bond Fund,861882639453.239,7157570204.3364,120.4155,120.4155,120.4155,15-04-2025
49,Umoja Fund,384227044711.841,337341248.089,1138.9863,1138.9863,1127.5964,14-04-2025
50,Wekeza Maisha Fund,21698825431.6642,21621984.6456,1003.5538,1003.5538,983.4828,14-04-2025
